,annotation_id,annotator,created_at,id,image,label
0,1,1,2023-07-21T15:08:37.698702Z,1,ga24251_Frame_2.jpg,"[{'x': 44.50672645739912, 'y': 22.915411406365717, 'width': 10.87443946188338, 'height': 13.758720412785483, 'rotation': 0, 'rectanglelabels': ['Right'], 'original_width': 1280, 'original_height': 720}, {'x': 70.17937219730942, 'y': 28.89885401096163, 'width': 4.372197309417032, 'height': 6.576980568011958, 'rotation': 0, 'rectanglelabels': ['Stop'], 'original_width': 1280, 'original_height': 720}]"
1,2,1,2023-07-21T15:10:46.530373Z,2,ga24251_Frame_3.jpg,"[{'x': 44.843049327354265, 'y': 24.71350274040857, 'width': 9.641255605381161, 'height': 11.360239162929748, 'rotation': 0, 'rectanglelabels': ['Right'], 'original_width': 1280, 'original_height': 720}, {'x': 70.51569506726457, 'y': 30.09466865969108, 'width': 3.811659192825104, 'height': 5.181863477827605, 'rotation': 0, 'rectanglelabels': ['Stop'], 'original_width': 1280, 'original_height': 720}, {'x': 90.80717488789237, 'y': 28.101644245142005, 'width': 6.50224215246638, 'height': 8.968609865470853, 'rotation': 0, 'rectanglelabels': ['Left'], 'original_width': 1280, 'original_height': 720}]"
2,3,1,2023-07-21T15:11:13.649224Z,3,ga24251_Frame_4.jpg,"[{'x': 45.06726457399103, 'y': 23.916292974588938, 'width': 9.417040358744394, 'height': 12.556053811659194, 'rotation': 0, 'rectanglelabels': ['Right'], 'original_width': 1280, 'original_height': 720}, {'x': 91.25560538116592, 'y': 27.902341803687097, 'width': 5.941704035874437, 'height': 9.16791230692576, 'rotation': 0, 'rectanglelabels': ['Left'], 'original_width': 1280, 'original_height': 720}, {'x': 70.4035874439462, 'y': 29.49676133532636, 'width': 4.7085201793721865, 'height': 4.982561036372694, 'rotation': 0, 'rectanglelabels': ['Stop'], 'original_width': 1280, 'original_height': 720}]"
3,4,1,2023-07-21T15:11:55.218090Z,4,ga24251_Frame_5.jpg,"[{'x': 45.06726457399103, 'y': 23.916292974588938, 'width': 9.641255605381168, 'height': 13.15396113602392, 'rotation': 0, 'rectanglelabels': ['Right'], 'original_width': 1280, 'original_height': 720}, {'x': 91.70403587443946, 'y': 28.101644245142005, 'width': 5.156950672645749, 'height': 8.968609865470853, 'rotation': 0, 'rectanglelabels': ['Left'], 'original_width': 1280, 'original_height': 720}, {'x': 70.73991031390135, 'y': 29.696063776781266, 'width': 4.4843049327354265, 'height': 5.381165919282509, 'rotation': 0, 'rectanglelabels': ['Stop'], 'original_width': 1280, 'original_height': 720}]"
4,5,1,2023-07-21T15:12:21.450490Z,5,ga24251_Frame_6.jpg,"[{'x': 44.843049327354265, 'y': 23.916292974588938, 'width': 9.529147982062774, 'height': 13.15396113602392, 'rotation': 0, 'rectanglelabels': ['Right'], 'original_width': 1280, 'original_height': 720}, {'x': 91.14349775784754, 'y': 26.706527154957648, 'width': 6.278026905829591, 'height': 10.762331838565018, 'rotation': 0, 'rectanglelabels': ['Left'], 'original_width': 1280, 'original_height': 720}, {'x': 70.2914798206278, 'y': 29.895366218236173, 'width': 4.3721973094170465, 'height': 4.982561036372697, 'rotation': 0, 'rectanglelabels': ['Stop'], 'original_width': 1280, 'original_height': 720}]"
5,6,1,2023-07-21T15:12:41.188774Z,6,ga24251_Frame_10.jpg,"[{'x': 44.61883408071749, 'y': 24.314897857498753, 'width': 9.977578475336315, 'height': 12.157448928749378, 'rotation': 0, 'rectanglelabels': ['Right'], 'original_width': 1280, 'original_height': 720}, {'x': 90.91928251121077, 'y': 27.50373692077728, 'width': 6.390134529147986, 'height': 10.164424514200299, 'rotation': 0, 'rectanglelabels': ['Left'], 'original_width': 1280, 'original_height': 720}, {'x': 70.4035874439462, 'y': 30.09466865969108, 'width': 3.587443946188344, 'height': 5.181863477827605, 'rotation': 0, 'rectanglelabels': ['Stop'], 'original_width': 1280, 'original_height': 720}]"
6,7,1,2023-07-21T15:13:06.596101Z,7,ga24251_Frame_11.jpg,"[{'x': 43.609865470852014, 'y': 22.720478325859492, 'width': 9.529147982062781, 'height': 11.958146487294474, 'rotation': 0, 'rectanglelabels': ['Right'], 'original_width': 1280, 'original_height': 720}, {'x': 90.80717488789237, 'y': 26.10861983059293, 'width': 6.0538116591928315, 'height': 10.363726955655203, 'rotation': 0, 'rectanglelabels': ['Left'], 'original_width': 1280, 'original_height': 720}, {'x': 69.50672645739911, 'y': 28.50024912805182, 'width': 4.260089686098652, 'height': 4.5839561534628785, 'rotation': 0, 'rectanglelabels': ['Stop'], 'original_width': 1280, 'original_height': 720}]"
7,8,1,2023-07-21T15:13:36.384747Z,8,ga24251_Frame_12.jpg,"[{'x': 47.19730941704036, 'y': 21.126058794220228, 'width': 10.201793721973097, 'height': 12.954658694569005, 'rotation': 0, 'rectanglelabels': ['Right'], 'original_width': 1280, 'original_height': 720}, {'x': 73.76681614349776, 'y': 28.300946686596912, 'width': 4.147982062780258, 'height': 5.580468360737417, 'rotation': 0, 'rectanglelabels': ['Stop'], 'original_width': 1280, 'original_height': 720}, {'x': 96.30044843049326, 'y': 25.909317389138014, 'width': 3.25112107623319, 'height': 10.363726955655213, 'rotation': 0, 'rectanglelabels': ['Left'], 'original_width': 1280, 'original_height': 720}]"
8,9,1,2023-07-21T15:14:10.713457Z,9,ga24251_Frame_13.jpg,"[{'x': 46.18834080717489, 'y': 21.723966118584954, 'width': 10.762331838565018, 'height': 15.346287992027904, 'rotation': 0, 'rectanglelabels': ['Right'], 'original_width': 1280, 'original_height': 720}, {'x': 73.76681614349776, 'y': 29.297458893871447, 'width': 4.372197309417032, 'height': 5.779770802192328, 'rotation': 0, 'rectanglelabels': ['Stop'], 'original_width': 1280, 'original_height': 720}]"
9,10,1,2023-07-21T15:14:31.776249Z,10,ga24251_Frame_14.jpg,"[{'x': 46.0762331838565, 'y': 22.122571001494766, 'width': 11.210762331838566, 'height': 14.74838066766318, 'rotation': 0, 'rectanglelabels': ['Right'], 'original_width': 1280, 'original_height': 720}, {'x': 73.65470852017937, 'y': 28.89885401096163, 'width': 4.035874439461878, 'height': 5.979073243647239, 'rotation': 0, 'rectanglelabels': ['Stop'], 'original_width': 1280, 'original_height': 720}]"
